ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	65	1	1	0.000000	17.153846	16.600000	0.000000	0.000000	0	0	0
2	447	1	2	0.000000	6.496644	6.496644	0.000000	0.000000	0	0	0
3	673	1	1	0.000000	15.062407	13.744428	0.000000	0.000000	0	0	0
4	141	2	2	0.000000	10.680851	10.680851	0.000000	0.000000	0	0	0
5	29	1	1	0.000000	9.275862	7.896552	0.000000	0.000000	0	0	0
6	81	1	2	0.000000	15.530864	15.456790	0.000000	0.000000	0	0	0
7	19	3	2	0.000000	18.947368	10.578947	0.000000	0.000000	0	0	0
8	29	1	1	0.000000	3.379310	3.379310	0.000000	0.000000	0	0	0
9	43	2	1	0.000000	10.093023	9.186047	0.000000	0.000000	0	0	0
10	19	2	1	0.000000	19.421053	18.263158	0.000000	0.000000	0	0	0
11	10	1	1	0.000000	17.600000	17.600000	0.000000	0.000000	0	0	0
12	30	1	2	0.000000	19.100000	19.100000	0.000000	0.000000	0	0	0
13	164	2	2	0.000000	13.914634	13.914634	0.000000	0.000000	0	0	0
14	515	1	2	0.000000	12.924272	12.633010	0.000000	0.000000	0	0	0
15	2	2	2	0.000000	15.500000	14.500000	0.000000	0.000000	0	0	0
16	430	1	0	0.000000	16.341860	15.611628	0.000000	0.000000	0	0	0
17	1	3	1	0.000000	10.000000	5.000000	0.000000	0.000000	0	0	0
18	17	3	1	0.000000	5.176471	4.941176	0.000000	0.000000	0	0	0
19	12	1	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
20	9	2	2	0.000000	19.666667	19.444444	0.000000	0.000000	0	0	0
21	8	1	1	0.000000	10.000000	9.000000	0.000000	0.000000	0	0	0
22	3	2	4	0.000000	16.666667	15.666667	0.000000	0.000000	0	0	0
23	12	2	1	0.000000	15.416667	14.416667	0.000000	0.000000	0	0	0
24	6	2	1	0.000000	15.833333	15.166667	0.000000	0.000000	0	0	0
25	4	2	1	0.000000	12.750000	12.750000	0.000000	0.000000	0	0	0
26	17	2	1	0.000000	10.411765	10.411765	0.000000	0.000000	0	0	0
27	1	1	2	0.000000	36.000000	36.000000	0.000000	0.000000	0	0	0
28	1	3	2	0.000000	44.000000	44.000000	0.000000	0.000000	0	0	0
29	2	2	1	0.000000	24.500000	24.500000	0.000000	0.000000	0	0	0
30	2	2	1	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
31	6	1	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	0	0
32	17	1	2	0.000000	14.235294	13.705882	0.000000	0.000000	0	0	0
33	9	1	2	0.000000	11.777778	6.666667	0.000000	0.000000	0	0	0
34	1	1	2	0.000000	10.000000	10.000000	0.000000	0.000000	0	0	0
35	99	1	2	0.000000	5.202020	5.202020	0.000000	0.000000	0	0	0
36	413	2	0	0.000000	5.358354	5.358354	0.000000	0.000000	0	0	0
37	10	2	1	0.000000	10.900000	10.900000	0.000000	0.000000	0	0	0
38	14	1	1	0.000000	9.642857	9.642857	0.000000	0.000000	0	0	0
39	10	2	2	0.000000	25.800000	7.900000	0.000000	0.000000	0	0	0
40	1	2	2	0.000000	25.000000	23.000000	0.000000	0.000000	0	0	0
41	3	1	1	0.000000	16.000000	14.000000	0.000000	0.000000	0	0	0
42	2	1	2	0.000000	17.000000	15.000000	0.000000	0.000000	0	0	0
43	2	2	2	0.000000	17.000000	15.000000	0.000000	0.000000	0	0	0
44	5	1	1	0.000000	9.400000	8.400000	0.000000	0.000000	0	0	0
45	34	1	2	0.000000	7.323529	6.852941	0.000000	0.000000	0	0	0
46	360	1	2	0.000000	13.111111	12.511111	0.000000	0.000000	0	0	0
47	697	2	2	0.000000	13.103300	12.183644	0.000000	0.000000	0	0	0
48	51	1	1	0.000000	10.647059	10.647059	0.000000	0.000000	0	0	0
49	113	2	2	0.000000	14.424779	14.079646	0.000000	0.000000	0	0	0
50	45	2	1	0.000000	20.466667	19.022222	0.000000	0.000000	0	0	0
51	65	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
52	2	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
53	3	1	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
54	32	1	2	0.000000	10.468750	10.468750	0.000000	0.000000	0	0	0
55	1474	1	2	0.000000	13.183853	12.755767	0.000000	0.000000	0	0	0
56	74	1	2	0.000000	12.770270	12.324324	0.000000	0.000000	0	0	0
57	31	2	2	0.000000	16.032258	16.032258	0.000000	0.000000	0	0	0
58	6	1	1	0.000000	10.500000	10.500000	0.000000	0.000000	0	0	0
59	23	1	2	0.000000	10.478261	10.478261	0.000000	0.000000	0	0	0
60	309	2	2	0.000000	16.540453	15.750809	0.000000	0.000000	0	0	0
61	29	1	1	0.000000	25.586207	18.793103	0.000000	0.000000	0	0	0
62	126	2	2	0.000000	15.515873	15.515873	0.000000	0.000000	0	0	0
63	71	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
64	25	1	2	0.000000	8.560000	8.560000	0.000000	0.000000	0	0	0
65	549	1	2	0.000000	14.530055	13.801457	0.000000	0.000000	0	0	0
66	134	0	2	0.000000	4.208955	4.208955	0.000000	0.000000	0	0	0
67	14	2	1	0.000000	12.071429	11.000000	0.000000	0.000000	0	0	0
68	15	1	1	0.000000	14.266667	14.266667	0.000000	0.000000	0	0	0
69	1158	0	2	0.000000	13.211572	12.822107	0.000000	0.000000	0	0	0
70	15	1	2	0.000000	12.866667	8.666667	0.000000	0.000000	0	0	0
71	14	1	1	0.000000	10.642857	4.928571	0.000000	0.000000	0	0	0
72	28	1	2	0.000000	18.357143	17.321429	0.000000	0.000000	0	0	0
73	32	2	1	0.000000	10.187500	9.281250	0.000000	0.000000	0	0	0
74	6	2	1	0.000000	10.333333	10.333333	0.000000	0.000000	0	0	0
75	5	1	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	0	0
76	1	2	2	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
77	3	2	1	0.000000	17.666667	17.666667	0.000000	0.000000	0	0	0
78	8	2	2	0.000000	12.500000	12.500000	0.000000	0.000000	0	0	0
79	12	1	1	0.000000	7.250000	7.250000	0.000000	0.000000	0	0	0
80	3	2	2	0.000000	17.000000	16.000000	0.000000	0.000000	0	0	0
81	27	1	1	0.000000	7.703704	7.703704	0.000000	0.000000	0	0	0
82	67	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
83	1	1	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
84	4	1	2	0.000000	9.000000	8.750000	0.000000	0.000000	0	0	0
85	96	2	1	0.000000	9.104167	9.031250	0.000000	0.000000	0	0	0
86	29	1	1	0.000000	15.862069	15.862069	0.000000	0.000000	0	0	0
87	69	2	2	0.000000	14.652174	13.768116	0.000000	0.000000	0	0	0
88	29	1	1	0.000000	15.172414	13.965517	0.000000	0.000000	0	0	0
89	69	1	2	0.000000	14.333333	14.333333	0.000000	0.000000	0	0	0
90	6	1	2	0.000000	20.166667	19.166667	0.000000	0.000000	0	0	0
91	2	4	2	0.000000	19.500000	18.000000	0.000000	0.000000	0	0	0
92	3	1	1	0.000000	10.666667	10.333333	0.000000	0.000000	0	0	0
93	1	1	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
94	5	2	2	0.000000	70.800000	66.200000	0.000000	0.000000	0	0	0
95	1	3	2	0.000000	73.000000	55.000000	0.000000	0.000000	0	0	0
96	4	1	1	0.000000	51.750000	51.750000	0.000000	0.000000	0	0	0
97	6	1	1	0.000000	13.666667	12.666667	0.000000	0.000000	0	0	0
98	4	1	3	0.000000	64.500000	47.500000	0.000000	0.000000	0	0	0
99	5	1	2	0.000000	67.800000	51.800000	0.000000	0.000000	0	0	0
100	2	2	1	0.000000	51.500000	41.500000	0.000000	0.000000	0	0	0
101	2	2	1	0.000000	19.500000	16.500000	0.000000	0.000000	0	0	0
102	96	1	1	0.000000	12.625000	12.322917	0.000000	0.000000	0	0	0
103	29	1	2	0.000000	16.517241	16.344828	0.000000	0.000000	0	0	0
104	88	1	2	0.000000	21.500000	20.829545	0.000000	0.000000	0	0	0
105	93	0	2	0.000000	12.473118	12.161290	0.000000	0.000000	0	0	0
106	1382	0	2	0.000000	10.553546	10.214906	0.000000	0.000000	0	0	0
107	544	1	2	0.000000	18.970588	18.345588	0.000000	0.000000	0	0	0
108	51	2	2	0.000000	15.235294	8.000000	0.000000	0.000000	0	0	0
109	83	2	2	0.000000	19.216867	18.192771	0.000000	0.000000	0	0	0
110	29	1	1	0.000000	23.206897	5.965517	0.000000	0.000000	0	0	0
111	8	2	2	0.000000	13.875000	8.000000	0.000000	0.000000	0	0	0
112	1	2	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
113	7	1	1	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
114	1	1	2	0.000000	66.000000	50.000000	0.000000	0.000000	0	0	0
115	1	2	2	0.000000	75.000000	59.000000	0.000000	0.000000	0	0	0
116	2	1	1	0.000000	64.500000	48.500000	0.000000	0.000000	0	0	0
117	6	2	3	0.000000	68.666667	51.666667	0.000000	0.000000	0	0	0
118	4	2	1	0.000000	66.500000	49.500000	0.000000	0.000000	0	0	0
119	4	3	1	0.000000	56.250000	39.250000	0.000000	0.000000	0	0	0
120	108	2	0	0.000000	4.574074	4.305556	0.000000	0.000000	0	0	0
121	68	2	0	0.000000	1.058824	1.058824	0.000000	0.000000	0	0	0
122	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
123	2	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
124	73	1	2	0.000000	10.013699	9.630137	0.000000	0.000000	0	0	0
125	48	1	1	0.000000	1.812500	1.812500	0.000000	0.000000	0	0	0
