ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	59	1	1	0.000000	19.762712	18.677966	0.000000	0.000000	0	0	0
2	75	2	2	0.000000	21.853333	20.666667	0.000000	0.000000	0	0	0
3	1	2	1	0.000000	29.000000	29.000000	0.000000	0.000000	0	0	0
4	18	2	1	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
5	51	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
6	6	1	1	0.000000	11.500000	9.333333	0.000000	0.000000	0	0	0
7	39	1	2	0.000000	20.461538	20.256410	0.000000	0.000000	0	0	0
8	2	1	2	0.000000	47.000000	47.000000	0.000000	0.000000	0	0	0
9	3	2	2	0.000000	52.000000	52.000000	0.000000	0.000000	0	0	0
10	1	2	1	0.000000	27.000000	27.000000	0.000000	0.000000	0	0	0
11	36	1	1	0.000000	14.527778	13.888889	0.000000	0.000000	0	0	0
12	16	2	2	0.000000	18.875000	13.937500	0.000000	0.000000	0	0	0
13	18	2	1	0.000000	12.888889	12.166667	0.000000	0.000000	0	0	0
14	6	2	1	0.000000	8.500000	8.500000	0.000000	0.000000	0	0	0
15	2	1	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	0	0
16	1	1	2	0.000000	10.000000	10.000000	0.000000	0.000000	0	0	0
17	1	1	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
18	2	2	2	0.000000	34.000000	33.000000	0.000000	0.000000	0	0	0
19	1	2	1	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
20	15	2	1	0.000000	12.333333	11.533333	0.000000	0.000000	0	0	0
21	2	2	1	0.000000	21.000000	18.500000	0.000000	0.000000	0	0	0
22	3	1	1	0.000000	21.666667	19.333333	0.000000	0.000000	0	0	0
23	1	2	3	0.000000	27.000000	24.000000	0.000000	0.000000	0	0	0
24	15	2	1	0.000000	20.333333	19.800000	0.000000	0.000000	0	0	0
25	2	1	1	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
26	2	1	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
27	6	2	2	0.000000	20.333333	20.000000	0.000000	0.000000	0	0	0
28	18	1	1	0.000000	20.222222	20.222222	0.000000	0.000000	0	0	0
29	115	1	2	0.000000	10.443478	9.843478	0.000000	0.000000	0	0	0
30	50	1	1	0.000000	9.020000	9.020000	0.000000	0.000000	0	0	0
31	1	1	2	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
32	3	2	2	0.000000	23.000000	23.000000	0.000000	0.000000	0	0	0
33	2	1	1	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
34	1	2	2	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
35	1	2	2	0.000000	31.000000	21.000000	0.000000	0.000000	0	0	0
36	2	2	1	0.000000	23.500000	14.000000	0.000000	0.000000	0	0	0
37	16	1	1	0.000000	17.687500	8.375000	0.000000	0.000000	0	0	0
38	430	1	0	0.000000	17.939535	17.181395	0.000000	0.000000	0	0	0
39	1	2	1	0.000000	10.000000	10.000000	0.000000	0.000000	0	0	0
40	16	1	1	0.000000	5.875000	5.875000	0.000000	0.000000	0	0	0
41	1	3	2	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
42	6	1	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
43	13	2	2	0.000000	20.230769	20.230769	0.000000	0.000000	0	0	0
44	2	2	1	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
45	2	1	1	0.000000	10.000000	10.000000	0.000000	0.000000	0	0	0
46	1	2	4	0.000000	36.000000	25.000000	0.000000	0.000000	0	0	0
47	18	1	1	0.000000	32.111111	16.666667	0.000000	0.000000	0	0	0
48	1	2	1	0.000000	19.000000	18.000000	0.000000	0.000000	0	0	0
49	6	2	1	0.000000	16.833333	15.833333	0.000000	0.000000	0	0	0
50	4	2	1	0.000000	13.750000	12.750000	0.000000	0.000000	0	0	0
51	128	1	0	0.000000	2.710938	2.710938	0.000000	0.000000	0	0	0
52	3	2	2	0.000000	22.333333	10.000000	0.000000	0.000000	0	0	0
53	4	3	1	0.000000	30.750000	8.000000	0.000000	0.000000	0	0	0
54	273	1	2	0.000000	15.736264	15.567766	0.000000	0.000000	0	0	0
55	37	2	1	0.000000	12.297297	6.000000	0.000000	0.000000	0	0	0
56	11	1	1	0.000000	12.090909	12.090909	0.000000	0.000000	0	0	0
57	1	1	2	0.000000	50.000000	49.000000	0.000000	0.000000	0	0	0
58	1	1	2	0.000000	59.000000	58.000000	0.000000	0.000000	0	0	0
59	4	2	2	0.000000	59.000000	54.500000	0.000000	0.000000	0	0	0
60	2	3	1	0.000000	54.500000	51.500000	0.000000	0.000000	0	0	0
61	2	2	1	0.000000	25.500000	25.500000	0.000000	0.000000	0	0	0
62	2	2	1	0.000000	25.500000	25.500000	0.000000	0.000000	0	0	0
63	17	1	2	0.000000	14.588235	14.411765	0.000000	0.000000	0	0	0
64	1	2	2	0.000000	34.000000	34.000000	0.000000	0.000000	0	0	0
65	1	4	2	0.000000	34.000000	23.000000	0.000000	0.000000	0	0	0
66	1	3	1	0.000000	24.000000	19.000000	0.000000	0.000000	0	0	0
67	1	2	2	0.000000	19.000000	18.000000	0.000000	0.000000	0	0	0
68	1	2	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
69	2	1	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	0	0
70	1	1	2	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
71	1	1	2	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
72	55	1	2	0.000000	7.000000	6.581818	0.000000	0.000000	0	0	0
73	3	2	2	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
74	2	1	1	0.000000	5.000000	5.000000	0.000000	0.000000	0	0	0
75	1	2	2	0.000000	33.000000	18.000000	0.000000	0.000000	0	0	0
76	1	2	1	0.000000	10.000000	10.000000	0.000000	0.000000	0	0	0
77	431	1	2	0.000000	6.767981	6.526682	0.000000	0.000000	0	0	0
78	1	1	2	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
79	7	1	2	0.000000	11.285714	11.285714	0.000000	0.000000	0	0	0
80	373	2	2	0.000000	7.560322	6.319035	0.000000	0.000000	0	0	0
81	7	2	2	0.000000	21.142857	21.142857	0.000000	0.000000	0	0	0
82	10	2	1	0.000000	11.600000	11.600000	0.000000	0.000000	0	0	0
83	8	1	1	0.000000	10.000000	10.000000	0.000000	0.000000	0	0	0
84	10	2	2	0.000000	10.200000	10.200000	0.000000	0.000000	0	0	0
85	1	1	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
86	4	1	2	0.000000	30.000000	25.000000	0.000000	0.000000	0	0	0
87	3	2	2	0.000000	30.000000	25.000000	0.000000	0.000000	0	0	0
88	202	1	2	0.000000	13.445545	12.876238	0.000000	0.000000	0	0	0
89	8	1	2	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
90	15	1	2	0.000000	11.400000	11.400000	0.000000	0.000000	0	0	0
91	29	2	2	0.000000	14.758621	14.758621	0.000000	0.000000	0	0	0
92	45	2	1	0.000000	21.044444	21.044444	0.000000	0.000000	0	0	0
93	28	1	1	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
94	164	2	2	0.000000	18.115854	17.201220	0.000000	0.000000	0	0	0
95	63	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
96	2	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
97	2	2	2	0.000000	8.500000	8.500000	0.000000	0.000000	0	0	0
98	3	1	2	0.000000	5.333333	5.333333	0.000000	0.000000	0	0	0
99	4	2	2	0.000000	33.000000	21.000000	0.000000	0.000000	0	0	0
100	195	1	2	0.000000	17.635897	17.461538	0.000000	0.000000	0	0	0
101	266	1	1	0.000000	14.650376	14.097744	0.000000	0.000000	0	0	0
102	37	2	2	0.000000	16.972973	16.972973	0.000000	0.000000	0	0	0
103	23	1	2	0.000000	12.173913	12.173913	0.000000	0.000000	0	0	0
104	85	1	2	0.000000	19.341176	17.752941	0.000000	0.000000	0	0	0
105	186	2	2	0.000000	15.962366	14.881720	0.000000	0.000000	0	0	0
106	23	1	1	0.000000	26.782609	24.086957	0.000000	0.000000	0	0	0
107	132	2	2	0.000000	17.272727	17.272727	0.000000	0.000000	0	0	0
108	25	1	2	0.000000	9.680000	9.680000	0.000000	0.000000	0	0	0
109	91	2	2	0.000000	15.824176	15.824176	0.000000	0.000000	0	0	0
110	17	1	2	0.000000	9.176471	9.176471	0.000000	0.000000	0	0	0
111	134	0	2	0.000000	4.798507	4.798507	0.000000	0.000000	0	0	0
112	832	1	2	0.000000	14.697115	14.223558	0.000000	0.000000	0	0	0
113	78	1	1	0.000000	12.089744	10.448718	0.000000	0.000000	0	0	0
114	168	2	1	0.000000	14.255952	13.708333	0.000000	0.000000	0	0	0
115	13	1	1	0.000000	14.615385	9.000000	0.000000	0.000000	0	0	0
116	3	1	2	0.000000	18.000000	11.000000	0.000000	0.000000	0	0	0
117	8	1	1	0.000000	11.750000	2.750000	0.000000	0.000000	0	0	0
118	5	2	2	0.000000	19.000000	14.400000	0.000000	0.000000	0	0	0
119	22	1	2	0.000000	19.772727	19.772727	0.000000	0.000000	0	0	0
120	11	2	1	0.000000	20.272727	20.272727	0.000000	0.000000	0	0	0
121	1	1	1	0.000000	20.000000	20.000000	0.000000	0.000000	0	0	0
122	1	2	2	0.000000	30.000000	29.000000	0.000000	0.000000	0	0	0
123	10	1	1	0.000000	19.200000	19.200000	0.000000	0.000000	0	0	0
124	11	1	2	0.000000	16.818182	16.818182	0.000000	0.000000	0	0	0
125	329	1	2	0.000000	9.641337	9.483283	0.000000	0.000000	0	0	0
126	32	2	1	0.000000	11.062500	10.343750	0.000000	0.000000	0	0	0
127	5	1	1	0.000000	10.800000	10.800000	0.000000	0.000000	0	0	0
128	1	3	2	0.000000	28.000000	28.000000	0.000000	0.000000	0	0	0
129	1	1	1	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
130	1	1	1	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
131	2	2	2	0.000000	37.000000	37.000000	0.000000	0.000000	0	0	0
132	1	2	1	0.000000	27.000000	27.000000	0.000000	0.000000	0	0	0
133	5	1	1	0.000000	14.800000	14.800000	0.000000	0.000000	0	0	0
134	2	2	2	0.000000	25.000000	24.000000	0.000000	0.000000	0	0	0
135	6	1	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
136	365	1	2	0.000000	17.000000	14.745205	0.000000	0.000000	0	0	0
137	7	2	1	0.000000	20.571429	19.571429	0.000000	0.000000	0	0	0
138	21	1	1	0.000000	8.428571	8.428571	0.000000	0.000000	0	0	0
139	8	3	1	0.000000	21.875000	18.000000	0.000000	0.000000	0	0	0
140	23	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
141	26	1	2	0.000000	13.346154	13.346154	0.000000	0.000000	0	0	0
142	62	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
143	2	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
144	1	3	2	0.000000	27.000000	22.000000	0.000000	0.000000	0	0	0
145	1	3	2	0.000000	30.000000	30.000000	0.000000	0.000000	0	0	0
146	1	3	3	0.000000	123.000000	123.000000	0.000000	0.000000	0	0	0
147	1	1	2	0.000000	18.000000	17.000000	0.000000	0.000000	0	0	0
148	1	1	2	0.000000	21.000000	19.000000	0.000000	0.000000	0	0	0
149	26	1	2	0.000000	23.423077	23.423077	0.000000	0.000000	0	0	0
150	300	1	2	0.000000	20.203333	19.390000	0.000000	0.000000	0	0	0
151	23	1	2	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
152	324	2	2	0.000000	14.160494	12.870370	0.000000	0.000000	0	0	0
153	96	2	1	0.000000	9.947917	9.937500	0.000000	0.000000	0	0	0
154	273	1	2	0.000000	17.886447	17.282051	0.000000	0.000000	0	0	0
155	148	1	2	0.000000	14.324324	12.695946	0.000000	0.000000	0	0	0
156	1	1	2	0.000000	23.000000	22.000000	0.000000	0.000000	0	0	0
157	3	2	2	0.000000	23.333333	22.333333	0.000000	0.000000	0	0	0
158	2	1	1	0.000000	22.000000	21.000000	0.000000	0.000000	0	0	0
159	5	1	2	0.000000	27.800000	27.000000	0.000000	0.000000	0	0	0
160	1	1	2	0.000000	28.000000	28.000000	0.000000	0.000000	0	0	0
161	1	4	2	0.000000	135.000000	112.000000	0.000000	0.000000	0	0	0
162	5	5	1	0.000000	95.600000	78.800000	0.000000	0.000000	0	0	0
163	6	2	1	0.000000	4.000000	3.333333	0.000000	0.000000	0	0	0
164	13	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
165	4	1	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
