ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	85	1	2	0.000000	13.635294	12.117647	0.000000	0.000000	0	0	0
2	143	2	2	0.000000	11.979021	11.671329	0.000000	0.000000	0	0	0
3	21	1	1	0.000000	13.000000	12.904762	0.000000	0.000000	0	0	0
4	3	2	2	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
5	51	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
6	112	1	2	0.000000	15.392857	15.151786	0.000000	0.000000	0	0	0
7	148	1	2	0.000000	17.594595	17.175676	0.000000	0.000000	0	0	0
8	1	2	2	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
9	4	1	1	0.000000	12.000000	10.000000	0.000000	0.000000	0	0	0
10	33	1	1	0.000000	20.575758	20.575758	0.000000	0.000000	0	0	0
11	1	2	2	0.000000	50.000000	50.000000	0.000000	0.000000	0	0	0
12	1	1	1	0.000000	49.000000	48.000000	0.000000	0.000000	0	0	0
13	4	1	2	0.000000	54.000000	53.000000	0.000000	0.000000	0	0	0
14	1	1	2	0.000000	67.000000	66.000000	0.000000	0.000000	0	0	0
15	1	2	2	0.000000	84.000000	44.000000	0.000000	0.000000	0	0	0
16	34	1	1	0.000000	14.941176	14.323529	0.000000	0.000000	0	0	0
17	13	2	2	0.000000	18.846154	9.923077	0.000000	0.000000	0	0	0
18	4	1	1	0.000000	17.750000	12.000000	0.000000	0.000000	0	0	0
19	5	1	1	0.000000	14.000000	9.000000	0.000000	0.000000	0	0	0
20	1	2	2	0.000000	32.000000	12.000000	0.000000	0.000000	0	0	0
21	1	1	2	0.000000	27.000000	10.000000	0.000000	0.000000	0	0	0
22	1	1	2	0.000000	36.000000	19.000000	0.000000	0.000000	0	0	0
23	1	2	1	0.000000	62.000000	19.000000	0.000000	0.000000	0	0	0
24	6	1	1	0.000000	54.666667	11.666667	0.000000	0.000000	0	0	0
25	1	2	1	0.000000	31.000000	31.000000	0.000000	0.000000	0	0	0
26	16	2	1	0.000000	18.625000	15.375000	0.000000	0.000000	0	0	0
27	3	1	1	0.000000	22.666667	20.000000	0.000000	0.000000	0	0	0
28	1	1	2	0.000000	27.000000	25.000000	0.000000	0.000000	0	0	0
29	7	2	1	0.000000	28.428571	20.571429	0.000000	0.000000	0	0	0
30	4	1	2	0.000000	22.000000	19.000000	0.000000	0.000000	0	0	0
31	4	2	1	0.000000	45.500000	11.000000	0.000000	0.000000	0	0	0
32	3	1	1	0.000000	40.333333	20.333333	0.000000	0.000000	0	0	0
33	13	2	1	0.000000	48.000000	20.923077	0.000000	0.000000	0	0	0
34	70	1	1	0.000000	18.714286	18.100000	0.000000	0.000000	0	0	0
35	48	1	1	0.000000	9.270833	9.270833	0.000000	0.000000	0	0	0
36	1	1	2	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
37	1	1	2	0.000000	54.000000	26.000000	0.000000	0.000000	0	0	0
38	1	2	2	0.000000	73.000000	34.000000	0.000000	0.000000	0	0	0
39	1	2	1	0.000000	70.000000	22.000000	0.000000	0.000000	0	0	0
40	2	3	1	0.000000	62.000000	14.000000	0.000000	0.000000	0	0	0
41	133	1	2	0.000000	11.458647	11.120301	0.000000	0.000000	0	0	0
42	2	1	2	0.000000	6.000000	5.000000	0.000000	0.000000	0	0	0
43	1	2	4	0.000000	130.000000	12.000000	0.000000	0.000000	0	0	0
44	1	3	1	0.000000	109.000000	75.000000	0.000000	0.000000	0	0	0
45	14	1	1	0.000000	6.142857	6.142857	0.000000	0.000000	0	0	0
46	3	2	2	0.000000	14.666667	14.666667	0.000000	0.000000	0	0	0
47	2	3	1	0.000000	129.500000	20.000000	0.000000	0.000000	0	0	0
48	3	2	2	0.000000	25.666667	25.666667	0.000000	0.000000	0	0	0
49	10	1	1	0.000000	18.700000	15.100000	0.000000	0.000000	0	0	0
50	2	1	2	0.000000	37.000000	18.000000	0.000000	0.000000	0	0	0
51	2	2	1	0.000000	123.000000	13.000000	0.000000	0.000000	0	0	0
52	30	2	1	0.000000	3.133333	3.133333	0.000000	0.000000	0	0	0
53	16	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
54	1	2	2	0.000000	55.000000	44.000000	0.000000	0.000000	0	0	0
55	1	2	1	0.000000	39.000000	28.000000	0.000000	0.000000	0	0	0
56	3	1	2	0.000000	11.333333	11.000000	0.000000	0.000000	0	0	0
57	2	2	3	0.000000	56.500000	20.000000	0.000000	0.000000	0	0	0
58	9	1	1	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
59	1	2	2	0.000000	67.000000	67.000000	0.000000	0.000000	0	0	0
60	1	1	2	0.000000	60.000000	60.000000	0.000000	0.000000	0	0	0
61	4	1	2	0.000000	62.250000	61.250000	0.000000	0.000000	0	0	0
62	4	4	2	0.000000	56.000000	53.500000	0.000000	0.000000	0	0	0
63	2	2	1	0.000000	29.000000	27.000000	0.000000	0.000000	0	0	0
64	2	2	2	0.000000	30.500000	28.500000	0.000000	0.000000	0	0	0
65	103	1	1	0.000000	22.679612	21.951456	0.000000	0.000000	0	0	0
66	1	3	3	0.000000	223.000000	223.000000	0.000000	0.000000	0	0	0
67	1	3	2	0.000000	57.000000	39.000000	0.000000	0.000000	0	0	0
68	1	2	2	0.000000	28.000000	28.000000	0.000000	0.000000	0	0	0
69	1	4	2	0.000000	38.000000	30.000000	0.000000	0.000000	0	0	0
70	1	4	4	0.000000	37.000000	14.000000	0.000000	0.000000	0	0	0
71	1	1	2	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
72	1	1	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
73	7	1	2	0.000000	13.285714	13.285714	0.000000	0.000000	0	0	0
74	48	1	2	0.000000	6.645833	6.208333	0.000000	0.000000	0	0	0
75	2	2	2	0.000000	55.500000	18.000000	0.000000	0.000000	0	0	0
76	3	1	1	0.000000	35.666667	16.000000	0.000000	0.000000	0	0	0
