ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	52	2	2	0.000000	14.096154	13.538462	0.000000	0.000000	0	0	0
2	523	1	2	0.000000	20.363289	19.491396	0.000000	0.000000	0	0	0
3	137	1	3	0.000000	18.058394	17.846715	0.000000	0.000000	0	0	0
4	5	2	2	0.000000	41.800000	25.600000	0.000000	0.000000	0	0	0
5	10	1	1	0.000000	21.300000	21.300000	0.000000	0.000000	0	0	0
6	12	1	1	0.000000	23.500000	21.416667	0.000000	0.000000	0	0	0
7	408	2	2	0.000000	14.848039	13.970588	0.000000	0.000000	0	0	0
8	1	1	2	0.000000	57.000000	57.000000	0.000000	0.000000	0	0	0
9	1	1	3	0.000000	83.000000	69.000000	0.000000	0.000000	0	0	0
10	1	3	2	0.000000	90.000000	76.000000	0.000000	0.000000	0	0	0
11	2	2	1	0.000000	59.000000	59.000000	0.000000	0.000000	0	0	0
12	1	1	1	0.000000	56.000000	55.000000	0.000000	0.000000	0	0	0
13	1	1	2	0.000000	69.000000	68.000000	0.000000	0.000000	0	0	0
14	1	1	2	0.000000	88.000000	87.000000	0.000000	0.000000	0	0	0
15	4	1	2	0.000000	88.250000	75.750000	0.000000	0.000000	0	0	0
16	4	1	2	0.000000	44.250000	13.500000	0.000000	0.000000	0	0	0
17	3	2	2	0.000000	43.666667	16.000000	0.000000	0.000000	0	0	0
18	6	1	2	0.000000	40.666667	13.000000	0.000000	0.000000	0	0	0
19	17	1	1	0.000000	4.176471	4.176471	0.000000	0.000000	0	0	0
20	87	1	2	0.000000	12.827586	12.494253	0.000000	0.000000	0	0	0
21	8	2	1	0.000000	26.125000	10.875000	0.000000	0.000000	0	0	0
22	9	1	1	0.000000	26.666667	10.666667	0.000000	0.000000	0	0	0
23	1	2	3	0.000000	120.000000	46.000000	0.000000	0.000000	0	0	0
24	2	1	1	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
25	1	1	2	0.000000	16.000000	15.000000	0.000000	0.000000	0	0	0
26	1	1	2	0.000000	26.000000	25.000000	0.000000	0.000000	0	0	0
27	2	3	2	0.000000	41.500000	40.500000	0.000000	0.000000	0	0	0
28	6	2	1	0.000000	34.166667	33.166667	0.000000	0.000000	0	0	0
29	3	1	1	0.000000	21.333333	14.666667	0.000000	0.000000	0	0	0
30	1	2	2	0.000000	96.000000	13.000000	0.000000	0.000000	0	0	0
31	0	1	1	Inf	Inf	Inf	Inf	Inf	0	0	0
32	1	1	2	0.000000	110.000000	64.000000	0.000000	0.000000	0	0	0
33	1	2	1	0.000000	92.000000	33.000000	0.000000	0.000000	0	0	0
34	1	2	1	0.000000	74.000000	15.000000	0.000000	0.000000	0	0	0
35	1	3	3	0.000000	118.000000	20.000000	0.000000	0.000000	0	0	0
36	3	2	1	0.000000	88.666667	13.666667	0.000000	0.000000	0	0	0
37	3	2	2	0.000000	87.333333	28.333333	0.000000	0.000000	0	0	0
38	1	1	1	0.000000	79.000000	21.000000	0.000000	0.000000	0	0	0
39	1	2	1	0.000000	66.000000	19.000000	0.000000	0.000000	0	0	0
40	3	1	1	0.000000	47.333333	24.666667	0.000000	0.000000	0	0	0
41	11	1	1	0.000000	57.090909	22.090909	0.000000	0.000000	0	0	0
42	66	1	1	0.000000	19.757576	18.969697	0.000000	0.000000	0	0	0
43	210	2	1	0.000000	11.590476	11.490476	0.000000	0.000000	0	0	0
44	44	1	1	0.000000	9.772727	9.772727	0.000000	0.000000	0	0	0
45	1	2	2	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
46	1	1	3	0.000000	110.000000	31.000000	0.000000	0.000000	0	0	0
47	3	2	1	0.000000	90.000000	34.000000	0.000000	0.000000	0	0	0
48	1	1	1	0.000000	99.000000	23.000000	0.000000	0.000000	0	0	0
49	2	4	2	0.000000	101.000000	14.000000	0.000000	0.000000	0	0	0
50	2	1	2	0.000000	90.500000	15.000000	0.000000	0.000000	0	0	0
51	2	3	2	0.000000	82.500000	24.500000	0.000000	0.000000	0	0	0
52	191	1	2	0.000000	15.418848	14.931937	0.000000	0.000000	0	0	0
53	12	2	1	0.000000	1.333333	1.333333	0.000000	0.000000	0	0	0
54	24	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
55	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
56	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
57	5	1	2	0.000000	2.200000	1.200000	0.000000	0.000000	0	0	0
58	3	1	2	0.000000	11.666667	11.666667	0.000000	0.000000	0	0	0
59	1	2	2	0.000000	159.000000	102.000000	0.000000	0.000000	0	0	0
60	2	3	1	0.000000	162.500000	105.000000	0.000000	0.000000	0	0	0
61	1	2	1	0.000000	124.000000	92.000000	0.000000	0.000000	0	0	0
62	3	1	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
63	7	2	2	0.000000	14.857143	14.857143	0.000000	0.000000	0	0	0
64	1	1	1	0.000000	40.000000	26.000000	0.000000	0.000000	0	0	0
65	2	2	2	0.000000	41.500000	27.500000	0.000000	0.000000	0	0	0
66	7	1	1	0.000000	35.428571	23.000000	0.000000	0.000000	0	0	0
67	4	2	2	0.000000	51.000000	37.500000	0.000000	0.000000	0	0	0
68	1	1	1	0.000000	37.000000	18.000000	0.000000	0.000000	0	0	0
69	1	2	2	0.000000	198.000000	19.000000	0.000000	0.000000	0	0	0
70	3	1	3	0.000000	144.333333	50.000000	0.000000	0.000000	0	0	0
71	42	1	1	0.000000	3.666667	3.380952	0.000000	0.000000	0	0	0
72	1	1	2	0.000000	75.000000	48.000000	0.000000	0.000000	0	0	0
73	4	1	1	0.000000	12.500000	10.250000	0.000000	0.000000	0	0	0
74	2	1	2	0.000000	18.500000	10.500000	0.000000	0.000000	0	0	0
75	2	2	1	0.000000	105.000000	17.000000	0.000000	0.000000	0	0	0
76	222	2	2	0.000000	19.099099	18.792793	0.000000	0.000000	0	0	0
77	23	2	1	0.000000	12.956522	12.956522	0.000000	0.000000	0	0	0
78	5	1	1	0.000000	15.200000	15.200000	0.000000	0.000000	0	0	0
79	1	1	2	0.000000	86.000000	83.000000	0.000000	0.000000	0	0	0
80	1	2	2	0.000000	99.000000	96.000000	0.000000	0.000000	0	0	0
81	1	1	2	0.000000	90.000000	88.000000	0.000000	0.000000	0	0	0
82	1	2	2	0.000000	88.000000	86.000000	0.000000	0.000000	0	0	0
83	1	2	1	0.000000	87.000000	85.000000	0.000000	0.000000	0	0	0
84	1	1	1	0.000000	71.000000	69.000000	0.000000	0.000000	0	0	0
85	6	1	2	0.000000	66.833333	63.500000	0.000000	0.000000	0	0	0
