ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	380	2	2	0.000000	14.628947	12.892105	0.000000	0.000000	0	0	0
2	392	1	2	0.000000	19.308673	18.992347	0.000000	0.000000	0	0	0
3	385	2	2	0.000000	8.129870	7.877922	0.000000	0.000000	0	0	0
4	31	1	1	0.000000	10.451613	10.451613	0.000000	0.000000	0	0	0
5	656	2	2	0.000000	11.544207	11.259146	0.000000	0.000000	0	0	0
6	143	2	2	0.000000	14.027972	14.027972	0.000000	0.000000	0	0	0
7	4	2	1	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
8	31	1	1	0.000000	12.935484	12.935484	0.000000	0.000000	0	0	0
9	81	1	2	0.000000	14.876543	14.876543	0.000000	0.000000	0	0	0
10	8	2	2	0.000000	15.500000	8.125000	0.000000	0.000000	0	0	0
11	15	2	3	0.000000	26.866667	15.266667	0.000000	0.000000	0	0	0
12	78	1	1	0.000000	9.128205	9.128205	0.000000	0.000000	0	0	0
13	31	1	1	0.000000	11.290323	10.580645	0.000000	0.000000	0	0	0
14	105	1	2	0.000000	8.980952	8.895238	0.000000	0.000000	0	0	0
15	6	1	1	0.000000	3.666667	3.666667	0.000000	0.000000	0	0	0
16	11	3	2	0.000000	5.090909	5.090909	0.000000	0.000000	0	0	0
17	14	1	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
18	7	3	2	0.000000	23.428571	19.000000	0.000000	0.000000	0	0	0
19	10	1	1	0.000000	10.800000	8.800000	0.000000	0.000000	0	0	0
20	12	2	3	0.000000	18.000000	4.583333	0.000000	0.000000	0	0	0
21	1	2	1	0.000000	16.000000	14.000000	0.000000	0.000000	0	0	0
22	20	2	1	0.000000	13.400000	12.150000	0.000000	0.000000	0	0	0
23	184	2	0	0.000000	2.951087	2.951087	0.000000	0.000000	0	0	0
24	17	2	1	0.000000	9.588235	9.588235	0.000000	0.000000	0	0	0
