ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
739	10	1	1	0.000000	12.600000	8.600000	0.000000	0.000000	0	0	0
740	14	1	1	0.000000	5.285714	5.285714	0.000000	0.000000	0	0	0
741	62	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
742	6	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
743	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
744	19	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
745	78	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
746	15	1	1	0.000000	1.266667	1.266667	0.000000	0.000000	0	0	0
747	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
748	4	1	2	0.000000	6.000000	4.000000	0.000000	0.000000	0	0	0
749	19	1	1	0.000000	1.947368	1.947368	0.000000	0.000000	0	0	0
750	11	2	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
751	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
752	12	1	1	0.000000	1.166667	1.166667	0.000000	0.000000	0	0	0
753	39	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
754	12	1	1	0.000000	5.916667	5.166667	0.000000	0.000000	0	0	0
755	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
756	7	2	1	0.000000	11.571429	11.428571	0.000000	0.000000	0	0	0
757	46	1	0	0.000000	1.304348	1.173913	0.000000	0.000000	0	0	0
758	1	1	2	0.000000	5.000000	4.000000	0.000000	0.000000	0	0	0
759	49	1	0	0.000000	1.224490	1.224490	0.000000	0.000000	0	0	0
760	19	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
761	42	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
762	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
763	38	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
764	33	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
765	2	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
766	22	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
767	24	2	1	0.000000	7.458333	5.791667	0.000000	0.000000	0	0	0
768	19	1	1	0.000000	2.473684	2.315789	0.000000	0.000000	0	0	0
769	19	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
770	28	1	2	0.000000	9.571429	9.571429	0.000000	0.000000	0	0	0
771	56	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
772	3	2	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
773	19	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
774	1	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
775	57	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
776	64	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
777	1	2	2	0.000000	15.000000	2.000000	0.000000	0.000000	0	0	0
778	3	2	2	0.000000	17.000000	2.000000	0.000000	0.000000	0	0	0
779	14	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
