ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	47	2	2	0.000000	22.680851	21.382979	0.000000	0.000000	0	0	0
2	1	2	2	0.000000	19.000000	19.000000	0.000000	0.000000	0	0	0
3	2	1	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
4	18	2	2	0.000000	20.833333	20.111111	0.000000	0.000000	0	0	0
5	8	1	1	0.000000	24.125000	22.750000	0.000000	0.000000	0	0	0
6	1	2	2	0.000000	42.000000	40.000000	0.000000	0.000000	0	0	0
7	13	2	1	0.000000	27.307692	26.384615	0.000000	0.000000	0	0	0
8	5	1	1	0.000000	26.200000	25.800000	0.000000	0.000000	0	0	0
9	83	2	2	0.000000	26.192771	25.879518	0.000000	0.000000	0	0	0
10	18	1	2	0.000000	21.277778	20.222222	0.000000	0.000000	0	0	0
11	46	1	2	0.000000	23.826087	22.630435	0.000000	0.000000	0	0	0
12	1	2	2	0.000000	48.000000	47.000000	0.000000	0.000000	0	0	0
13	51	1	1	0.000000	16.176471	15.784314	0.000000	0.000000	0	0	0
14	10	1	2	0.000000	15.200000	14.200000	0.000000	0.000000	0	0	0
15	85	1	2	0.000000	12.682353	12.376471	0.000000	0.000000	0	0	0
16	16	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
17	58	2	2	0.000000	20.500000	20.155172	0.000000	0.000000	0	0	0
18	3	1	1	0.000000	16.666667	16.333333	0.000000	0.000000	0	0	0
19	2	1	1	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
20	70	1	2	0.000000	12.971429	12.971429	0.000000	0.000000	0	0	0
21	68	1	2	0.000000	22.735294	21.926471	0.000000	0.000000	0	0	0
22	1	2	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
23	19	2	1	0.000000	21.894737	21.894737	0.000000	0.000000	0	0	0
24	139	2	2	0.000000	18.640288	18.172662	0.000000	0.000000	0	0	0
25	8	1	1	0.000000	21.875000	21.125000	0.000000	0.000000	0	0	0
26	1	2	2	0.000000	22.000000	21.000000	0.000000	0.000000	0	0	0
27	2	1	1	0.000000	20.500000	19.500000	0.000000	0.000000	0	0	0
28	2	2	2	0.000000	23.500000	22.500000	0.000000	0.000000	0	0	0
29	3	1	2	0.000000	24.000000	22.000000	0.000000	0.000000	0	0	0
30	2	2	2	0.000000	25.000000	23.000000	0.000000	0.000000	0	0	0
31	7	1	1	0.000000	23.857143	21.142857	0.000000	0.000000	0	0	0
32	74	1	1	0.000000	18.013514	18.013514	0.000000	0.000000	0	0	0
33	2	3	2	0.000000	48.500000	23.500000	0.000000	0.000000	0	0	0
34	7	2	1	0.000000	44.714286	37.142857	0.000000	0.000000	0	0	0
